location_type,parent_station,stop_code,stop_id,stop_lat,stop_lon,stop_name,wheelchair_boarding,zone_id
0,,274A06_TM,53354,4.629268537560231,-74.0854771432608,KR 33,1,
0,,275A06_TM,53355,4.63211374892686,-74.08734686104025,KR 38,1,
0,,278A06_TM,53356,4.6519892377010095,-74.11223903884088,Ciudad Salitre 3ra Etapa,1,
0,,280A06_TM,53357,4.6693170355706926,-74.11611743372609,Br. Modelia,1,
0,,281A06_TM,53358,4.6389329919906,-74.11489260421831,Br. Centro Industrial,1,
0,,284A06_TM,53360,4.652244755579112,-74.10614732514433,Br. Ismael Perdomo,1,
0,,285A06_TM,53361,4.6515852375802345,-74.10795003905416,Imprenta Nacional de Colombia,1,
0,,052A12_TM,53362,4.499073332754008,-74.10684416072884,Br. La Reforma,1,
0,,053A12_TM,53363,4.498915479812571,-74.10719393978225,Br. Charalá,1,
0,,054A12_TM,53364,4.4939111129389655,-74.10849914488654,Br. La Esperanza de Usme,1,
0,,055A12_TM,53365,4.493876908229312,-74.10803574643943,Br. Puerta al Llano Rural,1,
0,,056A12_TM,53366,4.506681618655313,-74.10586199245515,Br. Gran Yomasa,1,
0,,057A12_TM,53367,4.506465798045603,-74.10660932161986,Br. El Líbano,1,
0,,058A12_TM,53368,4.505509309458465,-74.11470626535053,Br. Tenerife,1,
0,,059A12_TM,53369,4.505611525575953,-74.11450892433707,Br. El Virrey,1,
0,,060A12_TM,53370,4.503611159745611,-74.11562604162943,Br. Monteblanco,1,
0,,061A12_TM,53371,4.503566889289602,-74.11543194744881,Br. El Virrey,1,
0,,062A12_TM,53372,4.501710664130167,-74.11675441245968,IED Monteblanco,1,
0,,062B12_TM,53373,4.502061143449168,-74.11641818152115,IED Monteblanco,1,
0,,063A12_TM,53374,4.501716673796503,-74.11647577214127,IED Monteblanco,1,
0,,064A12_TM,53375,4.57243689240556,-74.09858101216498,Br. Sociego Sur,1,
0,,065A12_TM,53376,4.56921438104964,-74.10065435832267,Br. Country Sur,1,
0,,066A12_TM,53377,4.564802221340129,-74.10784113114792,Br. Puerto Rico,1,
0,,067A12_TM,53378,4.56469917529406,-74.10801980935639,CAI Lomas,1,
0,,068A12_TM,53379,4.560726570811478,-74.11068432540753,Br. Puerto Rico,1,
0,,069A12_TM,53380,4.56103402142955,-74.11057728845485,Br. Puerto Rico,1,
0,,070A12_TM,53381,4.556845542906007,-74.1121411297717,Br. Callejón Santa Bárbara,1,
0,,287A06_TM,53382,4.647511038316406,-74.10943899721313,Br. Salitre Occidental,1,
0,,288A06_TM,53383,4.649352174913403,-74.11231204973669,Salitre Club Residencial,1,
0,,292A06_TM,53384,4.694441976124883,-74.15137400003293,Br. El Refugio,1,
